vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos,FR_Hip_vel,FR_Thigh_vel,FR_Calf_vel,FL_Hip_vel,FL_Thigh_vel,FL_Calf_vel,RR_Hip_vel,RR_Thigh_vel,RR_Calf_vel,RL_Hip_vel,RL_Thigh_vel,RL_Calf_vel,FR_Hip_pos,FR_Thigh_pos,FR_Calf_pos,FL_Hip_pos,FL_Thigh_pos,FL_Calf_pos,RR_Hip_pos,RR_Thigh_pos,RR_Calf_pos,RL_Hip_pos,RL_Thigh_pos,RL_Calf_pos
-0.000016,0.000167,0.000006,0.000525,0.003326,-0.000672,-0.37777,-0.344858,-0.429243,0.379165,-0.34596,-0.428016,-0.374928,-0.343979,-0.4308,0.375434,-0.3439,-0.430439,0.019938,0.164503,-0.053531,0.009869,0.142476,-0.013702,-0.004386,0.111411,-0.020185,0.020504,0.115414,-0.008752,-0.377785,-0.348185,-0.42873,0.379603,-0.349306,-0.427979,-0.376041,-0.34676,-0.430187,0.376403,-0.346661,-0.430658
-0.000003,0.000149,0,-0.000376,0.000841,0.00003,-0.37762,-0.341663,-0.429966,0.379169,-0.342851,-0.428643,-0.374772,-0.340754,-0.431529,0.375271,-0.340598,-0.43121,0.028242,0.197521,-0.060816,-0.027067,0.19807,-0.059559,0.016188,0.219376,-0.056593,-0.03132,0.21609,-0.066848,-0.377426,-0.344846,-0.429198,0.379092,-0.345917,-0.427891,-0.374701,-0.343661,-0.430727,0.37522,-0.343561,-0.430442
-0.000002,0.000152,-0.000002,-0.000693,0.001519,-0.000007,-0.377523,-0.336573,-0.430983,0.379043,-0.337723,-0.429692,-0.374515,-0.335413,-0.432709,0.374581,-0.335375,-0.432658,0.015437,0.296773,-0.062319,-0.003501,0.294254,-0.057815,0.000553,0.290125,-0.056784,-0.008501,0.283114,-0.064236,-0.377562,-0.34116,-0.429996,0.379135,-0.342333,-0.428641,-0.374786,-0.340424,-0.431464,0.375413,-0.34026,-0.431041
-0.000007,0.000154,0,-0.00033,-0.000072,-0.000239,-0.377347,-0.330108,-0.432298,0.379026,-0.331292,-0.430893,-0.374477,-0.329053,-0.433926,0.374522,-0.329063,-0.433877,0.012917,0.344881,-0.064504,-0.004851,0.34574,-0.060183,-0.001693,0.346614,-0.065068,0.006966,0.3506,-0.063078,-0.377543,-0.336396,-0.430937,0.379048,-0.337543,-0.429663,-0.3745,-0.335202,-0.432678,0.374717,-0.335098,-0.432546
0,0.000146,0,-0.000046,0.002082,-0.000372,-0.377146,-0.322701,-0.433806,0.378923,-0.32385,-0.432345,-0.374393,-0.32167,-0.435339,0.374517,-0.321559,-0.43526,0.014722,0.391778,-0.080143,-0.013716,0.394706,-0.080769,0.006333,0.390418,-0.07361,-0.003287,0.393582,-0.072527,-0.377393,-0.329978,-0.432284,0.379008,-0.331163,-0.43091,-0.374451,-0.328874,-0.433907,0.374465,-0.3289,-0.433861
-0.000001,0.000142,0,0.000137,0.002804,-0.000256,-0.376914,-0.313966,-0.435529,0.378654,-0.315095,-0.434103,-0.374353,-0.312911,-0.436945,0.374464,-0.312796,-0.436874,0.006659,0.434878,-0.081505,-0.006858,0.434037,-0.082548,0.003101,0.435283,-0.077952,-0.00372,0.433631,-0.079079,-0.377228,-0.322501,-0.43376,0.378983,-0.32368,-0.432295,-0.374393,-0.321448,-0.435337,0.374503,-0.321382,-0.435246
0.000022,0.000144,-0.000003,0.004148,0.00546,0.000009,-0.376863,-0.304925,-0.437162,0.378612,-0.306086,-0.435732,-0.374298,-0.30388,-0.438529,0.374431,-0.303816,-0.438437,-0.001627,0.466721,-0.082856,-0.00397,0.462629,-0.080195,0.000253,0.463213,-0.079904,-0.004805,0.459793,-0.076443,-0.376985,-0.313755,-0.435542,0.378773,-0.314868,-0.434075,-0.374334,-0.312699,-0.436949,0.374444,-0.312546,-0.436876
0.000116,0.000149,0.000023,0.003561,0.009722,0.000062,-0.37688,-0.295448,-0.438832,0.378615,-0.296662,-0.437359,-0.374166,-0.29449,-0.440071,0.374325,-0.294461,-0.439907,-0.000359,0.481658,-0.085777,-0.001443,0.476989,-0.079717,0.00704,0.478286,-0.077052,-0.007267,0.473913,-0.069725,-0.376911,-0.304779,-0.437212,0.378628,-0.305929,-0.435749,-0.374292,-0.303703,-0.438541,0.374367,-0.30361,-0.438438
0.000311,0.000164,0.00001,-0.003621,0.015491,0.000721,-0.376885,-0.285801,-0.440524,0.378705,-0.287018,-0.439024,-0.373865,-0.284915,-0.441508,0.374196,-0.28491,-0.441249,0.001218,0.485947,-0.083059,0.005547,0.48706,-0.086059,0.017935,0.481826,-0.067047,-0.005685,0.481849,-0.065844,-0.376888,-0.295316,-0.43887,0.378706,-0.2965,-0.437414,-0.374085,-0.294298,-0.440084,0.374307,-0.294239,-0.439951
0.000608,0.000179,0.000003,-0.000166,0.019816,0.000687,-0.376978,-0.276061,-0.442174,0.378777,-0.277361,-0.440692,-0.373511,-0.275282,-0.442755,0.373922,-0.275366,-0.442442,-0.001467,0.488364,-0.082366,0.003894,0.482989,-0.080509,0.021258,0.482829,-0.059874,-0.014625,0.475925,-0.05463,-0.376926,-0.285666,-0.440538,0.378707,-0.286927,-0.439046,-0.373813,-0.284731,-0.441543,0.374132,-0.284759,-0.441278
