vel_x, vel_y, vel_z, omega_x, omega_y, omega_z, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos, RF_HAA_vel, RF_HFE_vel, RF_KFE_vel, LF_HAA_vel, LF_HFE_vel, LF_KFE_vel, RH_HAA_vel, RH_HFE_vel, RH_KFE_vel, LH_HAA_vel, LH_HFE_vel, LH_KFE_vel, RF_HAA_pos, RF_HFE_pos, RF_KFE_pos, LF_HAA_pos, LF_HFE_pos, LF_KFE_pos, RH_HAA_pos, RH_HFE_pos, RH_KFE_pos, LH_HAA_pos, LH_HFE_pos, LH_KFE_pos
0.026387, -0.000658, 0.002583, 0.002484, 0.009059, 0.001263, -0.4199, -0.09832, -0.433883, 0.424376, -0.095861, -0.430865, -0.425182, -0.098851, -0.429599, 0.417742, -0.098397, -0.435153, 0.027526, 0.007508, -0.027132, 0.003151, -0.015983, 0.006669, 0.034465, 0.000513, -0.009826, -0.020955, -0.010528, 0.006175, -0.41979, -0.102675, -0.433385, 0.424286, -0.099905, -0.430373, -0.425386, -0.102857, -0.429355, 0.417909, -0.102516, -0.434885
0.017611, -0.00038, 0.000626, -0.002173, 0.001736, 0.001366, -0.419838, -0.098049, -0.43401, 0.424329, -0.095465, -0.430957, -0.424837, -0.098488, -0.429679, 0.417513, -0.098161, -0.435094, 0.010545, 0.057228, -0.009774, -0.004345, 0.066358, -0.010628, 0.01807, 0.061563, -0.011505, -0.005542, 0.055586, -0.006318, -0.419837, -0.097983, -0.433723, 0.424404, -0.095168, -0.430753, -0.424824, -0.098416, -0.429334, 0.417443, -0.097916, -0.434928
0.01637, -0.000389, -0.000123, 0.000339, 0.000026, 0.001059, -0.419918, -0.096248, -0.434121, 0.424357, -0.093705, -0.431072, -0.424803, -0.096695, -0.429848, 0.417611, -0.096518, -0.435131, 0.00055, 0.110739, -0.01041, 0.001469, 0.100164, -0.006945, 0.004692, 0.107388, -0.01293, 0.002111, 0.102035, -0.006965, -0.419965, -0.095022, -0.43418, 0.424372, -0.092706, -0.431077, -0.424965, -0.095602, -0.429838, 0.417618, -0.095284, -0.435197
0.018284, -0.000394, 0.0002, 0.000501, 0.000358, 0.001157, -0.419948, -0.09429, -0.43426, 0.424407, -0.091908, -0.431174, -0.424687, -0.094758, -0.430065, 0.417632, -0.094681, -0.435236, -0.002534, 0.090887, -0.005319, 0.000668, 0.085609, -0.004854, 0.004549, 0.091776, -0.009695, 0.001532, 0.086046, -0.003866, -0.419793, -0.095863, -0.434169, 0.424281, -0.093377, -0.431093, -0.424533, -0.096329, -0.42981, 0.417399, -0.096139, -0.435064
0.018403, -0.000382, -0.000035, -0.000172, -0.000104, 0.001296, -0.419881, -0.092369, -0.434456, 0.424376, -0.090062, -0.431337, -0.424572, -0.092824, -0.430286, 0.417656, -0.092872, -0.435347, 0.004014, 0.101424, -0.010407, -0.003663, 0.10071, -0.010328, 0.004451, 0.102885, -0.01108, 0.002816, 0.0967, -0.005734, -0.41985, -0.094205, -0.434264, 0.424333, -0.091752, -0.431182, -0.424429, -0.094717, -0.429889, 0.417404, -0.094629, -0.435054
0.018209, -0.000257, 0.000095, 0.000004, 0.000181, 0.001085, -0.419873, -0.090243, -0.434622, 0.424311, -0.087971, -0.431539, -0.424506, -0.090673, -0.430493, 0.417718, -0.090832, -0.435455, -0.000805, 0.110838, -0.007727, -0.000786, 0.107084, -0.008414, 0.003294, 0.111174, -0.010223, 0.00276, 0.106273, -0.005565, -0.419879, -0.092021, -0.434418, 0.424386, -0.089721, -0.431311, -0.424333, -0.092545, -0.430137, 0.417464, -0.092557, -0.43519
0.018311, -0.000264, 0.000277, -0.000174, 0.001419, 0.000888, -0.419881, -0.088014, -0.43479, 0.424305, -0.085821, -0.431707, -0.424416, -0.088463, -0.430686, 0.417744, -0.088713, -0.435559, -0.000124, 0.111926, -0.008966, 0.00057, 0.108846, -0.008614, 0.005224, 0.110443, -0.009197, 0.000932, 0.106338, -0.004873, -0.419819, -0.090112, -0.434615, 0.424346, -0.087893, -0.431468, -0.424204, -0.090625, -0.43035, 0.417467, -0.090776, -0.435281
0.017932, -0.000231, 0.000626, 0.000386, 0.002353, 0.000706, -0.419886, -0.085801, -0.434963, 0.424298, -0.083652, -0.431882, -0.424313, -0.086275, -0.430842, 0.417741, -0.086602, -0.435638, -0.00092, 0.110923, -0.008758, -0.000069, 0.108521, -0.00833, 0.004763, 0.109382, -0.007041, -0.001068, 0.105703, -0.003329, -0.419811, -0.08803, -0.434763, 0.424282, -0.085826, -0.431669, -0.424118, -0.088533, -0.430509, 0.417478, -0.088761, -0.435383
0.017383, -0.000117, 0.00093, -0.000409, 0.003514, 0.000592, -0.419902, -0.083603, -0.435132, 0.424302, -0.081494, -0.432054, -0.424194, -0.08412, -0.430959, 0.417704, -0.084506, -0.435694, -0.000581, 0.109286, -0.008478, 0.00133, 0.107724, -0.008419, 0.006782, 0.106396, -0.004985, -0.002145, 0.104141, -0.002396, -0.419816, -0.085824, -0.434924, 0.424263, -0.083696, -0.431828, -0.424011, -0.086353, -0.43068, 0.417467, -0.086669, -0.435468
0.016748, -0.00013, 0.00117, -0.000204, 0.004654, 0.000368, -0.419919, -0.081452, -0.435303, 0.424317, -0.079378, -0.432221, -0.424054, -0.082042, -0.431037, 0.417627, -0.082469, -0.435725, -0.000941, 0.106427, -0.008755, 0.001812, 0.104791, -0.008266, 0.007526, 0.102062, -0.003163, -0.004246, 0.100568, -0.001212, -0.419832, -0.083667, -0.435086, 0.424253, -0.081575, -0.432005, -0.423894, -0.084232, -0.430806, 0.41743, -0.084613, -0.435534
