vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,FR_hip_pos,FR_thigh_pos,FR_calf_pos,FL_hip_pos,FL_thigh_pos,FL_calf_pos,RR_hip_pos,RR_thigh_pos,RR_calf_pos,RL_hip_pos,RL_thigh_pos,RL_calf_pos,FR_hip_vel,FR_thigh_vel,FR_calf_vel,FL_hip_vel,FL_thigh_vel,FL_calf_vel,RR_hip_vel,RR_thigh_vel,RR_calf_vel,RL_hip_vel,RL_thigh_vel,RL_calf_vel
0.016279,-0.000002,0.004037,-0.006239,-0.009944,-0.001462,0.435482,-0.07713,-0.423512,0.428664,-0.076247,-0.429068,-0.426899,-0.077454,-0.429839,-0.429823,-0.079067,-0.427972,-0.016029,0.191129,-0.006697,0.006303,0.196392,-0.014845,0.04099,0.208813,-0.016693,0.029253,0.202252,-0.03089
0.024573,-0.000396,0.005159,-0.009311,-0.005127,0.000466,0.435328,-0.075705,-0.423381,0.428559,-0.074551,-0.429181,-0.426282,-0.075722,-0.429851,-0.429417,-0.077433,-0.42807,0.015624,-0.019517,0.030167,-0.016602,0.010693,-0.01085,0.048077,0.000325,-0.003093,0.0238,-0.000952,0.006533
0.015571,-0.000513,0.002664,0.001423,-0.010767,0.000472,0.435069,-0.075599,-0.42315,0.428446,-0.074372,-0.429164,-0.425825,-0.075726,-0.429676,-0.429117,-0.077191,-0.428126,-0.013088,0.051363,0.012692,0.003865,0.051837,-0.002647,0.020143,0.047579,0.00511,0.003565,0.058822,-0.011541
0.014301,-0.000841,0.001697,0.00372,-0.003545,-0.000395,0.434959,-0.074101,-0.422938,0.428612,-0.072812,-0.429141,-0.425756,-0.074192,-0.429568,-0.429237,-0.075543,-0.428272,-0.013178,0.08343,-0.001089,-0.006326,0.088432,-0.005589,0.008817,0.091682,-0.00642,0.005736,0.090952,-0.013073
0.016087,-0.000912,0.00103,0.00184,0.001484,0.000101,0.434879,-0.072598,-0.422932,0.428425,-0.071195,-0.429257,-0.425525,-0.072484,-0.429798,-0.429031,-0.073862,-0.428514,0.001303,0.070022,0.000121,-0.003812,0.069464,-0.000126,0.005225,0.074856,-0.008923,0.007981,0.074644,-0.007492
0.016168,-0.000959,0.000139,0.001129,0.002412,-0.000019,0.434882,-0.071046,-0.423012,0.428431,-0.069715,-0.429231,-0.425448,-0.070869,-0.430006,-0.428913,-0.072271,-0.428652,0.003684,0.083686,-0.004074,0.00296,0.081143,0.001411,0.001771,0.088045,-0.010889,0.004626,0.086171,-0.006999
0.016424,-0.000975,-0.000322,0.000445,0.003796,-0.000016,0.435023,-0.069277,-0.423094,0.428489,-0.067989,-0.42922,-0.425431,-0.068988,-0.430247,-0.428801,-0.070452,-0.428807,0.008499,0.092132,-0.005049,0.002525,0.089296,-0.00009,0.000845,0.098093,-0.013493,0.006809,0.093957,-0.008363
0.016686,-0.000977,-0.000556,0.000234,0.004429,0.000008,0.4352,-0.0674,-0.423211,0.42854,-0.06618,-0.429224,-0.425415,-0.066995,-0.430533,-0.428659,-0.068544,-0.428978,0.009435,0.094995,-0.006259,0.003049,0.091243,0.000024,0.000424,0.100566,-0.014604,0.007019,0.096435,-0.008398
0.016598,-0.000963,-0.000688,0.000106,0.004528,-0.000022,0.435399,-0.065474,-0.423337,0.428612,-0.064328,-0.42922,-0.425419,-0.064958,-0.430823,-0.428527,-0.066589,-0.429143,0.010379,0.097458,-0.006329,0.003947,0.093889,0.000139,-0.000528,0.103028,-0.014418,0.006397,0.098908,-0.00821
0.016324,-0.000931,-0.000678,0.00004,0.004492,-0.000033,0.435606,-0.063516,-0.423463,0.428687,-0.062442,-0.42922,-0.425429,-0.062887,-0.431112,-0.428399,-0.064603,-0.429307,0.010336,0.098086,-0.006288,0.003746,0.094461,-0.000021,-0.000394,0.103696,-0.014311,0.006446,0.099307,-0.008108
0.015872,-0.000889,-0.000591,0.000044,0.004296,-0.000043,0.435807,-0.061567,-0.423585,0.428759,-0.060563,-0.429219,-0.425437,-0.060826,-0.431392,-0.428273,-0.062629,-0.429466,0.009879,0.096776,-0.005891,0.003585,0.093297,0.000105,-0.000356,0.102149,-0.01359,0.006209,0.098025,-0.007683
0.015252,-0.000838,-0.000459,0.000041,0.004017,-0.00007,0.435997,-0.059658,-0.423695,0.428827,-0.058721,-0.429214,-0.425447,-0.058812,-0.431651,-0.428154,-0.060693,-0.429614,0.009319,0.094191,-0.005248,0.003369,0.090975,0.000301,-0.000518,0.099267,-0.012382,0.005899,0.095412,-0.007069
0.014469,-0.000787,-0.000286,0.000186,0.003665,0.000047,0.436181,-0.05772,-0.423798,0.428894,-0.056849,-0.429205,-0.425418,-0.056755,-0.431927,-0.428035,-0.05873,-0.429754,0.008032,0.090367,-0.00469,0.00287,0.087254,0.000576,0.000501,0.094807,-0.011827,0.005292,0.091598,-0.006255
0.013596,-0.000738,-0.000133,0.000276,0.00334,-0.000011,0.436335,-0.055962,-0.423882,0.428949,-0.055149,-0.429189,-0.425404,-0.054899,-0.432154,-0.427936,-0.056946,-0.429869,0.007269,0.085647,-0.003866,0.002525,0.082894,0.000892,-0.001508,0.089325,-0.009106,0.004471,0.086819,-0.005227
0.012664,-0.000702,0.000037,0.00039,0.002968,0.000007,0.436472,-0.0543,-0.423952,0.428997,-0.053542,-0.429166,-0.425363,-0.053135,-0.432376,-0.427783,-0.05525,-0.430012,0.006192,0.080587,-0.003126,0.002349,0.077956,0.001379,0.001673,0.085212,-0.010103,0.002863,0.080204,-0.003533
0.011689,-0.000614,0.000207,-0.000088,0.002556,-0.000052,0.436566,-0.052735,-0.42403,0.428978,-0.052029,-0.429183,-0.425324,-0.051491,-0.432567,-0.427654,-0.053664,-0.430124,0.002321,0.076088,-0.005023,0.003818,0.071663,0.002501,0.00591,0.080913,-0.011179,0.003097,0.074798,-0.002729
0.010668,-0.000528,0.000337,0.000088,0.002372,0.000099,0.436675,-0.051308,-0.42407,0.428965,-0.050617,-0.429187,-0.425279,-0.049973,-0.432738,-0.427539,-0.052204,-0.430216,0.005681,0.068847,-0.001252,0.002116,0.065804,0.00203,0.005451,0.074399,-0.009907,0.00225,0.068469,-0.001633
0.009647,-0.000466,0.000446,0.000174,0.00207,0.000081,0.436734,-0.049985,-0.42412,0.428944,-0.049329,-0.429184,-0.425232,-0.048581,-0.432887,-0.427439,-0.050871,-0.430289,0.00503,0.062344,-0.000486,0.000042,0.060382,0.000982,0.003436,0.066757,-0.007339,0.000942,0.062244,-0.00034
0.008661,-0.000399,0.000566,-0.000164,0.002057,-0.000028,0.436786,-0.048782,-0.42416,0.42893,-0.04816,-0.429174,-0.425179,-0.047323,-0.433013,-0.427303,-0.049643,-0.430378,0.004714,0.056232,-0.000275,-0.002713,0.055852,-0.00068,0.002025,0.059222,-0.005126,0.012689,0.0609,-0.007937
0.007676,-0.000363,0.000619,0.000061,0.001738,-0.000084,0.436822,-0.047701,-0.424191,0.428906,-0.047106,-0.429164,-0.425125,-0.046192,-0.433119,-0.427191,-0.048551,-0.43044,0.003656,0.04995,0.000116,-0.004715,0.050914,-0.0018,0.000736,0.052361,-0.003447,0.004534,0.050556,-0.001904
0.006698,-0.000313,0.000654,0.000107,0.001579,-0.000088,0.436852,-0.04674,-0.424217,0.428884,-0.046175,-0.429153,-0.425067,-0.045191,-0.433209,-0.427098,-0.047592,-0.430478,0.002646,0.043942,0.000068,-0.007045,0.046104,-0.003218,-0.000475,0.045466,-0.001902,0.001782,0.043334,0.000397
0.005774,-0.000265,0.000663,0.000307,0.0014,-0.00015,0.436877,-0.045894,-0.424239,0.428865,-0.045357,-0.429139,-0.425009,-0.044312,-0.433282,-0.427011,-0.046753,-0.430504,0.000686,0.038961,-0.000652,-0.010116,0.042349,-0.005207,-0.000636,0.039899,-0.00142,0.000383,0.037595,0.001355
0.004933,-0.000206,0.000625,0.000299,0.000882,-0.000073,0.436911,-0.045169,-0.424234,0.428864,-0.044658,-0.429103,-0.424955,-0.043543,-0.433348,-0.426933,-0.046017,-0.430529,0.00085,0.034235,0.000234,0.001306,0.032681,0.00279,-0.000175,0.03455,-0.000924,-0.000436,0.033041,0.001462
0.004122,-0.000125,0.000624,0.000112,0.000902,0,0.436884,-0.044538,-0.424261,0.428798,-0.044048,-0.429106,-0.424915,-0.042889,-0.433401,-0.42686,-0.045392,-0.430554,0.001048,0.028461,0.000482,0.001335,0.026835,0.002964,0.003837,0.030826,-0.003388,-0.000262,0.027461,0.001866
0.004226,-0.00014,0.000574,0.00001,-0.002607,-0.000118,0.436853,-0.043876,-0.424261,0.428734,-0.043364,-0.429154,-0.42485,-0.042212,-0.433435,-0.426779,-0.0447,-0.430621,-0.005942,0.034973,-0.000928,-0.000647,0.036059,-0.003506,0.004846,0.034881,-0.00018,0.001515,0.036744,-0.004252
0.003531,-0.000055,0.000631,-0.000458,-0.001959,-0.000041,0.436768,-0.043393,-0.424254,0.428732,-0.042854,-0.4292,-0.424736,-0.041719,-0.433425,-0.426727,-0.044181,-0.43068,-0.000063,0.019031,0.003336,0.002809,0.020402,0.000554,0.002514,0.019382,0.00243,-0.000484,0.020751,-0.00027
